Variable,Type,Definition
crown_class,factor,"One of: ""D"" = dominant (trees with crowns that extend above the general level of the trees immediately around the measured trees), ""C"" = codominant (trees with crowns forming the general level of the trees immediately around the measured trees), ""I"" = intermediate (trees with crowns below, but extending into, the general level of the crown canopy (may include trees, shrubs, or other obstructions) immediately around the measured trees), ""S"" = suppressed (trees with crowns entirely below the general level of the crown canopy (may include trees, shrubs, or other obstructions) around the measured trees), ""-"" = not applicable. Only defined for live trees (""status = LS or LL or LF""). Dead trees (""status = DS or SN) set to ""-"". Adapted from Natural Resources Canada, Canadian Forest Service. (2008). Canada’s National Forest Inventory ground sampling guidelines: Specifications for ongoing measurement. (5th ed.). Library and Archives Canada. In source guidelines, crown class is not defined for ""LF"" trees; we recorded it in this data because crown position is an important determinant of a potential as a source tree or target tree for mistletoe seed. "
crown_cond,factor,"Crown condition measured with an ordered ranking: 1 (all foliage, twigs, and branches present), 2 (some or all foliage lost, possibly some twigs lost, all branches usually present), 3 (no foliage, up to 50% of twigs lost, most branches present), 4 (no foliage or twigs, up to 50% of branches lost), 5 (no foliage or twigs, some sound and rotting branch stubs may be present), 6 (no foliage, twigs, branches, or branch stubs), ""misisng"" = mistakenly not recorded. Defined for all trees (live and dead). Follows Natural Resources Canada, Canadian Forest Service. (2008). Canada’s National Forest Inventory ground sampling guidelines: Specifications for ongoing measurement. (5th ed.). Library and Archives Canada."
dbh,numeric,"Outside bark diameter at 1.3 m height on the high side ground level of a tree. In centimeters to the to one decimal. For ""tree_type = regen"" dbh limit is ≥4.0 cm. For ""tree_type = mature"" dbh limit is >9.0 cm. Follows Natural Resources Canada, Canadian Forest Service. (2008). Canada’s National Forest Inventory ground sampling guidelines: Specifications for ongoing measurement. (5th ed.). Library and Archives Canada."
height,numeric,"Tree height. In meters to one decimal. Measured for a subsample dominant/codominant western hemlock (3 regen trees/transect = 9 trees/site; 3 mature trees/stem mapping plot = 12 trees/site). For western hemlock trees that have an apical droop, we extended the height to estimate the total height if the droop was pulled straight. One exception is site cr_3, where all crown classes were measured. Future remeasurements should consider measuring heights for all live hemlocks in all crown classes. "
hdm_pa,factor,"Presence or absence of hemlock dwarf mistletoe. Asssessed for susceptible species (""spp = Hw or Ba"") where it is one of: ""Y"" = present, ""N"" = absent, ""U"" = unassessable (e.g. dead trees with little available tissue to assess). For all other species: ""-"" = not applicable. "
b_lc,factor,"Presence or absence of hemlock dwarf mistletoe below live crown. Assessed for trees with ""hdm_pa = Y"" and status = ""LS or LL or LF"" where it is either ""Y"" = present"" or ""N"" = absent. For dead susceptible species (""spp = Hw or Ba"") and all non-suceptible species (""spp != Hw or Ba"") it is ""-"" = not applicable. "
dmr_l,integer,"Dwarf mistletoe rating for lower third of the live crown. Records the proportion of primary branches with HDM infection: 0 = none infected, 1 = <50% infected, 2 = >50% infected. Assessed for trees with ""hdm_pa = Y"" and status = ""LS or LL or LF"". For dead susceptible species (""spp = Hw or Ba"") and all non-susceptible species (""spp != Hw or Ba"") it is NA. "
dmr_m,integer,"Dwarf mistletoe rating for middle third of the live crown. Records the proportion of primary branches with HDM infection: 0 = none infected, 1 = <50% infected, 2 = >50% infected. Assessed for trees with ""hdm_pa = Y"" and status = ""LS or LL or LF"". For dead susceptible species (""spp = Hw or Ba"") and all non-susceptible species (""spp != Hw or Ba"") it is NA. "
dmr_u,integer,"Dwarf mistletoe rating for upper third of the live crown. Records the proportion of primary branches with HDM infection: 0 = none infected, 1 = <50% infected, 2 = >50% infected. Assessed for trees with ""hdm_pa = Y"" and status = ""LS or LL or LF"". For dead susceptible species (""spp = Hw or Ba"") and all non-susceptible species (""spp != Hw or Ba"") it is NA. "
broom_pa,factor,"Presence or absence of hemlock dwarf mistletoe witches brooms. Assessed for trees with ""hdm_pa = Y"" and status = ""LS or LL or LF"" where it is either ""Y"" = present"" or ""N"" = absent. For dead susceptible species (""spp = Hw or Ba"") and all non-suceptible species (""spp != Hw or Ba"") it is ""-"" = not applicable. "
broom_pos,factor,"Position of witches brooms in live crown, divided into thirds. Defined for trees with witches brooms (""broom_pa = Y"") where it is one of: 1 = lower, 2 = middle, 3 = upper, 4 = lower and middle, 5 = lower and upper, 6 = middle and upper, 7 = all, 8 = below live crown. Other other trees have ""broom = N or -"" and are set as ""-"" = not applicable. Position system adapted (by adding ""8"") from Natural Resources Canada, Canadian Forest Service. (2008). Canada’s National Forest Inventory ground sampling guidelines: Specifications for ongoing measurement. (5th ed.). Library and Archives Canada."
stem_pa,factor,"Presence or absence of hemlock dwarf mistletoe infections on the tree stem. Assessed for trees with ""hdm_pa = Y"" and status = ""LS or LL or LF"" where it is either ""Y"" = present"", ""N"" = absent or ""misisng"" = mistakenly not recorded. For dead susceptible species (""spp = Hw or Ba"") and all non-suceptible species (""spp != Hw or Ba"") it is ""-"" = not applicable. "
path_ind_1,factor,"Defects or indicators of decay in wood. Recorded for live trees (""status = LS or LL or LF"") where it is one of: 1 = fork or crook resulting to damage to the main leader, 2 = scar, 3 = frost crack (may resemble a scar but always follows the grain), 4 = dead top (dead leader on a living tree), 5 = broken top (if there is a new leader, then the tree doesn't qualify, would be a fork or crook), 6 = conk (fruiting body of decay fungi), 7 = pitching. For trees without any indicators it is set as ""-"" = none. Two columns included to record multiple indicators if present; path_ind_1 should be more severe than path_ind_2, if they differ in severity. Adapted from BC Ministry of Forests and Range & BC Ministry of Environment (Eds.). (2010). Field manual for describing terrestrial ecosystems (2nd ed.). This data wasn't used in the analysis in any way. Future remeasurements could consider omitting it, or standardizing it and the ""dam_agent"" columns so these data could be used to assess whether tree qualifies as a crop tree."
path_ind_2,factor,"Defects or indicators of decay in wood. Recorded for live trees (""status = LS or LL or LF"") where it is one of: ""n"" = none, 1 = fork or crook resulting to damage to the main leader, 2 = scar, 3 = frost crack (may resemble a scar but always follows the grain), 4 = dead top (dead leader on a living tree), 5 = broken top (if there is a new leader, then the tree doesn't qualify, would be a fork or crook), 6 = conk (fruiting body of decay fungi), 7 = pitching. For dead trees it is set as ""-"" = not applicable. Two columns included to record multiple indicators if present; path_ind_1 should be more severe than path_ind_2, if they differ in severity. Adapted from BC Ministry of Forests and Range & BC Ministry of Environment (Eds.). (2010). Field manual for describing terrestrial ecosystems (2nd ed.). This data wasn't used in the analysis in any way. Future remeasurements could consider omitting it, or standardizing it and the ""dam_agent"" columns so these data could be used to assess whether tree qualifies as a crop tree."
dam_agent_1,factor,"Code specifying the agent responsible for damage in a tree. Recorded for all trees. Two columns included to record multiple agents if present; dam_agent_1 should be the agent causing severe damage. Codes are in Table 12.5 of Natural Resources Canada, Canadian Forest Service. (2008). Canada’s National Forest Inventory ground sampling guidelines: Specifications for ongoing measurement. (5th ed.). Library and Archives Canada. Future remeasurements could consider omitting it, or standardizing it and the ""dam_agent"" columns so these data could be used to assess whether tree qualifies as a crop tree."
dam_agent_2,factor,"Code specifying the agent responsible for damage in a tree. Recorded for all trees. Two columns included to record multiple agents if present; dam_agent_1 should be the agent causing severe damage. Codes are in Table 12.5 of Natural Resources Canada, Canadian Forest Service. (2008). Canada’s National Forest Inventory ground sampling guidelines: Specifications for ongoing measurement. (5th ed.). Library and Archives Canada. Future remeasurements could consider omitting it, or standardizing it and the ""dam_agent"" columns so these data could be used to assess whether tree qualifies as a crop tree."
notes,character,Notes on that tree from fieldwork or data entry. 
